Rank,username,Youtube_Url,Name,Category,Amount_Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments
167,Masha y el Oso,http://youtube.com/channel/UCuSo4gcgxJRf4Bzu43wwVyg,Masha y el Oso,Animation,24000000,,985000,5600,
168,Rans Entertainment,http://youtube.com/channel/UCvA9_f5Lwk-poMynabtrZPg,Rans Entertainment,Music & DanceHumor,24000000,Indonesia,861600,28800,743
169,adityacinema,http://youtube.com/channel/UCX_uPA_dGf7wXjuMEaSKLJA,Aditya Movies,,24000000,India,16300,296,18
170,Goldmines Dishoom,http://youtube.com/channel/UCu7Hg0f3rxqZ6qs-188ZbjQ,Goldmines Dishoom,,23900000,,32600,312,
171,Raffy Tulfo in Action,http://youtube.com/channel/UCxhygwqQ1ZMoBGQM2yEcNug,Raffy Tulfo in Action,News & Politics,23600000,Philippines,600300,10900,1100
172,Logan Paul,http://youtube.com/channel/UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul,Video gamesHumor,23600000,United States,0,,
173,Sandeep Maheshwari,http://youtube.com/channel/UCBqFKDipsnzvJdt6UT0lMIg,Sandeep Maheshwari,Daily vlogs,23400000,India,1800000,109800,5300
174,ChrisBrownTV,http://youtube.com/channel/UCcYrdFJF7hmPXRNaWdrko4w,Chris Brown,Music & Dance,23400000,United States,794600,28500,1100
175,ColdplayVEVO,http://youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,Music & Dance,23400000,United States,43400,3800,90
176,Troom Troom,http://youtube.com/channel/UCWwqHwqLSrdWMgp5DZG5Dzg,Troom Troom,AnimationToys,23200000,,459600,4400,89
177,DjSnakeTV,http://youtube.com/channel/UC_x8HoD18XJkILQBreVENUQ,DJ Snake,Music & Dance,23200000,India,639200,34700,1800
178,Diana and Roma HIN,http://youtube.com/channel/UC5ma-WCc8jNCV0WyRnfbHTg,Diana and Roma HIN,,23200000,,504900,3200,
179,NickyJamTV,http://youtube.com/channel/UCpb_iJuhFe8V6rQdbNqfAlQ,NickyJamTV,Music & DanceMovies,23200000,Colombia,138500,6900,268
180,TRANS7indonesia,http://youtube.com/channel/UC24_Z2L-8Ki183AI9zJJzNQ,TRANS7 OFFICIAL,Food & Drinks,23200000,Indonesia,4700,80,8
181,ABPLIVE,http://youtube.com/channel/UCmphdqZNmqL72WJ2uyiNw5w,ABPLIVE,News & Politics,23200000,India,2200,23,2
